"Send Push Notification","Send Push Notification"
"Push Notification","Push Notification"
"Enable Notification","Enable Notification"
"Sender ID","Sender ID"
"Firebase API Key","Firebase API Key"
"Unable to perform request.","Unable to perform request."
"Device token has successfully save.","Device token has successfully save."
"Must be set customer id or device id","Must be set customer id or device id"
"Must be set device token","Must be set device token"
"Push Notification can only be sent once app is live","Push Notification can only be sent once app is live"
"Message Title","Message Title"
"Message","Message"
"Upload Image","Upload Image"
"Choose when to send","Choose when to send"
"Immediately","Immediately"
"Once","Once"
"Daily","Daily"
"Weekly","Weekly"
"Monthly","Monthly"
"-- Please Select --","-- Please Select --"
"Select Action","Select Action"
"Open a product","Open a product"
"Open a collection","Open a collection"
"Home Page","Home Page"
"Categories","Categories"
"My Profile","My Profile"
"-- Select Feature To Open --","-- Select Feature To Open --"
